cycle ,time (s),dutyCycle (%?,freq (Hz)
0,1.00E-07,4.998,1.00E+07
1,2.00E-07,9.998,1.00E+07
2,3.00E-07,14.99,1.00E+07
3,4.00E-07,19.99,1.00E+07
4,5.00E-07,24.99,1.00E+07
5,6.00E-07,29.99,1.00E+07
6,7.00E-07,34.99,1.00E+07
7,8.00E-07,39.99,1.00E+07
8,9.00E-07,44.99,1.00E+07
9,1.00E-06,49.99,1.00E+07
10,1.10E-06,54.99,1.00E+07
11,1.20E-06,59.99,1.00E+07
12,1.30E-06,64.99,1.00E+07
13,1.40E-06,69.99,1.00E+07
14,1.50E-06,74.99,1.00E+07
15,1.60E-06,79.99,1.00E+07
16,1.70E-06,84.99,1.00E+07
17,1.80E-06,89.99,1.00E+07
18,1.90E-06,94.99,1.00E+07
